"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2004-01-01","2004","01","01","","0.7","","-6.7","","-3.0","","21.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-02","2004","01","02","","-5.9","","-10.4","","-8.2","","26.2","","0.0","","","M","","M","2.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-03","2004","01","03","","6.1","","-7.1","","-0.5","","18.5","","0.0","","","M","","M","5.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-04","2004","01","04","","5.5","","-6.8","","-0.7","","18.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-05","2004","01","05","","-6.7","","-10.9","","-8.8","","26.8","","0.0","","","M","","M","2.4","","","","4","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-06","2004","01","06","","-8.4","","-12.6","","-10.5","","28.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-07","2004","01","07","","-9.8","","-22.7","","-16.3","","34.3","","0.0","","","M","","M","1.2","","","","35","","37",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-08","2004","01","08","","-20.7","","-25.2","","-23.0","","41.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-09","2004","01","09","","-20.5","","-26.6","","-23.6","","41.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-10","2004","01","10","","-19.0","","-25.2","","-22.1","","40.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-11","2004","01","11","","-10.7","","-20.6","","-15.7","","33.7","","0.0","","","M","","M","3.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-12","2004","01","12","","-11.8","","-15.5","","-13.7","","31.7","","0.0","","","M","","M","2.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-13","2004","01","13","","-9.0","","-26.5","","-17.8","","35.8","","0.0","","","M","","M","2.2","","","","33","","37",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-14","2004","01","14","","-23.5","","-28.1","","-25.8","","43.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-15","2004","01","15","","-22.9","","-26.9","","-24.9","","42.9","","0.0","","","M","","M","1.4","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-16","2004","01","16","","-13.8","","-24.6","","-19.2","","37.2","","0.0","","","M","","M","2.2","","","","28","","33",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-17","2004","01","17","","-11.0","","-17.5","","-14.3","","32.3","","0.0","","","M","","M","0.0","","","","26","","37",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-18","2004","01","18","","-7.2","","-11.4","","-9.3","","27.3","","0.0","","","M","","M","3.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-19","2004","01","19","","-9.2","","-14.7","","-12.0","","30.0","","0.0","","","M","","M","1.0","","","","25","","39",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-20","2004","01","20","","-10.2","","-13.6","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","27","","35",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-21","2004","01","21","","-11.3","","-14.8","","-13.1","","31.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-22","2004","01","22","","-4.4","","-17.5","","-11.0","","29.0","","0.0","","","M","","M","4.4","","","","26","","37",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-23","2004","01","23","","-17.4","","-20.9","","-19.2","","37.2","","0.0","","","M","","M","0.0","","","","25","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-24","2004","01","24","","-19.8","","-24.4","","-22.1","","40.1","","0.0","","","M","","M","0.0","","","","24","","33",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-25","2004","01","25","","-18.4","","-25.5","","-22.0","","40.0","","0.0","","","M","","M","0.0","","","","25","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-26","2004","01","26","","-19.6","","-23.3","E","-21.5","E","39.5","E","0.0","E","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-27","2004","01","27","","-13.4","","-23.0","","-18.2","","36.2","","0.0","","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-28","2004","01","28","","-8.0","","-15.9","","-12.0","","30.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-29","2004","01","29","","-8.2","","-14.9","","-11.6","","29.6","","0.0","","","M","","M","0.0","","","","24","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-01-30","2004","01","30","","","M","-16.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-73.58","45.50","MCTAVISH","7024745","2004-01-31","2004","01","31","","-10.6","","-15.5","","-13.1","","31.1","","0.0","","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-01","2004","02","01","","-5.3","","-11.9","","-8.6","","26.6","","0.0","","","M","","M","","M","","","27","E","32","E"
"-73.58","45.50","MCTAVISH","7024745","2004-02-02","2004","02","02","","-4.3","","-9.5","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-03","2004","02","03","","1.4","","-11.7","","-5.2","","23.2","","0.0","","","M","","M","17.6","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-04","2004","02","04","","0.1","","-7.7","","-3.8","","21.8","","0.0","","","M","","M","2.2","","","","19","","37",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-05","2004","02","05","","-6.6","","-11.8","","-9.2","","27.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-06","2004","02","06","","-5.7","","-9.9","","-7.8","","25.8","","0.0","","","M","","M","5.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-07","2004","02","07","","-5.1","","-15.0","","-10.1","","28.1","","0.0","","","M","","M","2.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-08","2004","02","08","","-4.6","","-18.5","","-11.6","","29.6","","0.0","","","M","","M","0.0","","","","26","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-09","2004","02","09","","1.9","","-6.5","","-2.3","","20.3","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-10","2004","02","10","","2.3","","-2.8","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-11","2004","02","11","","-2.3","","-12.6","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-12","2004","02","12","","-7.0","","-12.6","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-13","2004","02","13","","0.1","","-9.0","","-4.5","","22.5","","0.0","","","M","","M","1.0","","","","25","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-14","2004","02","14","","-1.6","","-18.7","","-10.2","","28.2","","0.0","","","M","","M","0.0","","","","20","","33",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-15","2004","02","15","","-15.6","","-23.4","","-19.5","","37.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-16","2004","02","16","","-10.7","","-18.9","","-14.8","","32.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-17","2004","02","17","","-9.9","","-18.1","","-14.0","","32.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-18","2004","02","18","","-1.9","","-14.0","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-19","2004","02","19","","-0.8","","-8.8","","-4.8","","22.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-20","2004","02","20","","-1.5","","-5.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-21","2004","02","21","","1.4","","-1.7","","-0.2","","18.2","","0.0","","","M","","M","7.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-22","2004","02","22","","-0.2","","-5.3","","-2.8","","20.8","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-23","2004","02","23","","-2.3","","-9.2","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-24","2004","02","24","","-4.6","","-12.3","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-25","2004","02","25","","-0.6","","-10.1","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-26","2004","02","26","","-1.3","","-9.5","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-27","2004","02","27","","0.3","","-11.1","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-28","2004","02","28","","4.6","","-4.5","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","29","","35",""
"-73.58","45.50","MCTAVISH","7024745","2004-02-29","2004","02","29","","5.6","","-0.3","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-03-01","2004","03","01","","7.4","","0.3","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-03-02","2004","03","02","","9.6","","2.3","","6.0","","12.0","","0.0","","","M","","M","3.2","","","","17","","32",""
"-73.58","45.50","MCTAVISH","7024745","2004-03-03","2004","03","03","","3.9","","1.5","E","2.7","E","15.3","E","0.0","E","","M","","M","","M","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2004-03-04","2004","03","04","","3.6","","0.0","","1.8","","16.2","","0.0","","","M","","M","","M","","","","","<31",""
