"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-01","1871","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-02","1871","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-03","1871","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-04","1871","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-05","1871","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-06","1871","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-07","1871","07","26.2","","16.9","","21.6","","35.0","","11.7","","126.2","","0.0","","126.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-08","1871","08","26.5","","17.0","","21.8","","32.2","","11.7","","95.5","","0.0","","95.5","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-09","1871","09","21.3","","10.7","","16.0","","32.8","","3.3","","33.0","","0.0","","33.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-10","1871","10","14.2","","6.4","","10.3","","28.3","","-1.1","","84.8","","0.5","","85.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-11","1871","11","3.5","","-3.8","","-0.2","","11.1","S","-21.7","","50.5","","23.9","","74.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1871-12","1871","12","-4.4","","-11.1","","-7.8","","7.8","","-30.6","","10.4","","64.8","","75.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-01","1872","01","-3.1","","-11.4","","-7.3","","5.6","","-23.3","","14.7","","34.5","","49.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-02","1872","02","-0.4","","-12.1","","-6.3","","7.2","","-18.9","","2.3","","81.0","","83.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-03","1872","03","-0.4","","-11.6","","-6.0","","11.1","","-28.9","S","2.5","","74.4","","77.0","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-04","1872","04","13.3","","1.1","","7.2","","26.7","","-3.9","","15.0","","21.1","","36.1","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-05","1872","05","20.4","","9.6","","15.0","","28.9","","3.3","","47.2","","0.0","","47.2","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-06","1872","06","24.9","","15.6","","20.3","","33.3","","7.8","S","56.9","","0.0","","56.9","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-07","1872","07","26.9","","18.0","","22.5","","34.4","","12.8","","86.4","","0.0","","86.4","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-08","1872","08","27.4","","18.1","","22.8","","34.4","","10.6","","83.6","","0.0","","83.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-09","1872","09","22.8","","12.6","","17.7","","28.9","","7.2","","162.6","","0.0","","162.6","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-10","1872","10","13.8","","4.7","","9.3","","25.0","","-0.6","S","155.7","","0.0","T","155.7","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-11","1872","11","4.1","","-1.6","","1.3","","11.1","S","-12.2","","74.2","","27.2","","101.3","","","","","","",""
"-73.58","45.50","MONTREAL MCGILL","7025280","1872-12","1872","12","-6.7","","-14.1","","-10.4","","2.2","S","-27.8","","0.0","T","110.2","","110.2","","","","","","",""
