"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.58","45.50","MCTAVISH","7024745","2011-01-01","2011","01","01","","8.3","","3.5","","5.9","","12.1","","0.0","","","M","","M","2.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-02","2011","01","02","","7.9","","-2.6","","2.7","","15.3","","0.0","","","M","","M","2.6","","","","23","","32",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-03","2011","01","03","","-1.8","","-5.3","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-04","2011","01","04","","-3.3","","-6.9","","-5.1","","23.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-05","2011","01","05","","-2.8","","-7.9","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-06","2011","01","06","","-5.1","","-9.6","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-07","2011","01","07","","-4.0","","-8.2","","-6.1","","24.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-08","2011","01","08","","-2.9","","-8.6","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-09","2011","01","09","","-2.1","","-8.7","","-5.4","","23.4","","0.0","","","M","","M","2.4","","","","28","","32",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-10","2011","01","10","","-5.8","","-9.2","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","26","","32",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-11","2011","01","11","","-7.1","","-9.0","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-12","2011","01","12","","-4.3","","-10.0","","-7.2","","25.2","","0.0","","","M","","M","0.0","","","","4","","37",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-13","2011","01","13","","-5.5","","-9.2","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-14","2011","01","14","","-6.8","","-10.6","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-15","2011","01","15","","-7.6","","-13.8","","-10.7","","28.7","","0.0","","","M","","M","8.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-16","2011","01","16","","-9.6","","-17.7","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-17","2011","01","17","","-13.9","","-21.1","","-17.5","","35.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-18","2011","01","18","","-0.2","","-15.3","","-7.8","","25.8","","0.0","","","M","","M","4.8","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-19","2011","01","19","","-4.0","","-9.9","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","3","","33",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-20","2011","01","20","","-8.9","","-11.0","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-21","2011","01","21","","-7.9","","-14.0","","-11.0","","29.0","","0.0","","","M","","M","3.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-22","2011","01","22","","-13.0","","-17.4","","-15.2","","33.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-23","2011","01","23","","-16.2","","-24.7","","-20.5","","38.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-24","2011","01","24","","-17.1","","-26.3","","-21.7","","39.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-25","2011","01","25","","-11.4","","-18.0","","-14.7","","32.7","","0.0","","","M","","M","1.2","","","","","","<31",""
"-73.58","45.50","MCTAVISH","7024745","2011-01-26","2011","01","26","","-7.1","","-14.6","","-10.9","","28.9","","0.0","","","M","","M","1.0","","","","","","<31",""
